Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,416,374,441,484,1363,314,3037,0.0,False
jmeter_view_issue,14414,195,184,251,278,351,121,1819,0.0,False
jmeter_search_jql,4667,489,477,561,590,640,384,1752,0.0,False
jmeter_view_dashboard,4233,80,77,94,101,127,59,1035,0.0,False
jmeter_view_scrum_board,3390,131,140,168,177,205,74,315,0.0,False
jmeter_create_issue:open_quick_create,1697,78,75,96,106,123,60,801,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1697,207,188,259,268,294,150,1021,0.0,False
jmeter_view_backlog,2533,329,319,379,417,465,261,4123,0.0,False
jmeter_view_kanban_board,2956,140,129,192,204,227,92,674,0.0,False
jmeter_browse_projects,3799,47,45,56,60,80,35,267,0.0,False
jmeter_edit_issue:open_editor,2113,92,90,107,119,145,67,185,0.0,False
jmeter_edit_issue:save_edit,2113,258,250,316,350,482,174,934,0.0,False
jmeter_view_project_summary,1267,97,95,111,119,149,64,1007,0.0,False
jmeter_add_comment:open_comment,841,64,60,84,93,112,45,122,0.0,False
jmeter_add_comment:save_comment,841,261,254,326,345,386,175,655,0.0,False
jmeter_browse_boards,414,65,63,74,78,112,47,127,0.0,False
selenium_login:open_login_page,254,117,112,120,124,158,106,629,0.0,False
selenium_login:login_and_view_dashboard,254,493,480,526,546,1155,398,1186,0.0,False
selenium_login,254,611,594,646,667,1269,508,1298,0.0,False
selenium_browse_projects_list,254,245,241,272,287,297,208,312,0.0,False
selenium_browse_boards_list,254,276,234,260,738,758,213,765,0.0,False
selenium_create_issue:open_quick_create,254,662,659,691,705,744,622,913,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,254,598,597,603,605,611,586,630,0.0,False
selenium_create_issue:fill_and_submit_issue_form,254,1073,1075,1114,1126,1147,972,1211,0.0,False
selenium_create_issue,254,1735,1732,1786,1807,1849,1623,2125,0.0,False
selenium_edit_issue:open_edit_issue_form,254,471,448,552,580,648,381,778,0.0,False
selenium_edit_issue:save_edit_issue_form,254,550,540,632,674,690,437,709,0.0,False
selenium_edit_issue,254,1390,1391,1495,1521,1610,1241,1803,0.0,False
selenium_save_comment:open_comment_form,254,294,292,346,360,388,210,399,0.0,False
selenium_save_comment:submit_form,254,679,671,737,763,891,573,945,0.0,False
selenium_save_comment,254,1115,1104,1189,1218,1388,973,1552,0.0,False
selenium_search_jql,254,1149,1138,1181,1205,1259,1102,1776,0.0,False
selenium_view_scrum_board_backlog,254,979,1130,1198,1212,1257,747,1345,0.0,False
selenium_view_scrum_board,254,768,758,815,830,869,739,899,0.0,False
selenium_view_kanban_board,254,665,660,951,1041,1240,294,1341,0.0,False
selenium_view_dashboard,254,425,420,577,622,700,184,838,0.0,False
selenium_view_issue,254,543,546,602,614,637,422,717,0.0,False
selenium_project_summary,254,330,307,416,433,482,260,529,0.0,False
selenium_log_out,254,316,316,358,376,387,256,400,0.0,False
